Employee_ID,Age,Age_Category ,Gender,Job_Role,Industry,Years_of_Experience,Years_of_Experience_Category,Work_Location,Hours_Worked_Per_Week,Number_of_Virtual_Meetings,Work_Life_Balance_Rating,Stress_Level,Mental_Health_Condition,Access_to_Mental_Health_Resources,Productivity_Change,Social_Isolation_Rating,Satisfaction_with_Remote_Work,Company_Support_for_Remote_Work,Physical_Activity,Sleep_Quality,Region
EMP0002,40,Early Professional,Female,Data Scientist,IT,3,Beginner,Remote,52,4,1,Medium,Anxiety,No,Increase,3,Satisfied,2,Weekly,Good,Asia
EMP0004,27,Senior Professional,Male,Software Engineer,Finance,20,Advanced,Onsite,32,8,4,High,Depression,Yes,Increase,3,Unsatisfied,3,None,Poor,Europe
EMP0005,49,Young Adult,Male,Sales,Consulting,32,Expert,Onsite,35,12,2,High,None,Yes,Decrease,3,Unsatisfied,3,Weekly,Average,North America
EMP0010,30,Senior Professional,Female,HR,IT,28,Expert,Hybrid,57,6,1,Low,Depression,Yes,Decrease,2,Neutral,1,Weekly,Poor,North America
EMP0012,47,Early Professional,Female,Marketing,Consulting,31,Expert,Hybrid,26,12,4,Medium,None,Yes,No Change,4,Neutral,3,Weekly,Poor,Africa
EMP0013,40,Mid-Career Professional,Female,Marketing,Consulting,1,Beginner,Remote,21,7,2,High,Depression,Yes,Decrease,2,Neutral,1,Weekly,Good,Europe
EMP0016,56,Early Professional,Female,Sales,Healthcare,13,Advanced,Remote,44,11,4,Low,Anxiety,No,No Change,5,Satisfied,4,Weekly,Average,Africa
EMP0020,59,Mid-Career Professional,Male,Software Engineer,Consulting,13,Advanced,Remote,59,4,3,Medium,Anxiety,No,Decrease,4,Neutral,1,Daily,Average,South America
EMP0021,26,Senior Professional,Female,Sales,Retail,33,Expert,Hybrid,21,1,2,Low,Burnout,No,Increase,2,Satisfied,1,Weekly,Poor,South America
EMP0025,56,Senior Professional,Male,Sales,Finance,6,Intermediate,Remote,54,15,3,Low,Burnout,No,Increase,2,Neutral,4,Daily,Average,North America
EMP0026,49,Senior Professional,Male,Project Manager,Healthcare,23,Expert,Onsite,21,14,4,High,Burnout,No,No Change,4,Neutral,3,None,Good,South America
EMP0028,53,Early Professional,Female,Project Manager,Retail,31,Expert,Onsite,56,4,4,Low,Depression,No,No Change,4,Unsatisfied,4,None,Poor,Oceania
EMP0030,59,Mid-Career Professional,Male,Software Engineer,Healthcare,34,Expert,Remote,25,15,2,High,Depression,Yes,No Change,3,Satisfied,1,Weekly,Poor,North America
EMP0031,22,Senior Professional,Female,Data Scientist,IT,22,Expert,Onsite,20,11,1,Low,Anxiety,Yes,No Change,5,Neutral,2,Weekly,Average,Asia
EMP0034,48,Mid-Career Professional,Male,Software Engineer,Healthcare,27,Expert,Remote,26,9,3,Medium,Anxiety,Yes,No Change,5,Neutral,4,Daily,Average,North America
EMP0035,36,Mid-Career Professional,Male,Designer,IT,24,Expert,Hybrid,22,6,4,Medium,Depression,No,No Change,1,Unsatisfied,3,Weekly,Average,Europe
EMP0037,48,Mid-Career Professional,Male,Sales,Finance,10,Intermediate,Onsite,30,12,1,Low,Depression,Yes,Decrease,5,Satisfied,3,None,Poor,Asia
EMP0038,31,Mid-Career Professional,Female,Designer,Healthcare,18,Advanced,Remote,47,14,2,Low,None,Yes,Increase,2,Satisfied,5,Daily,Good,Asia
EMP0040,49,Young Adult,Male,Marketing,Consulting,20,Advanced,Hybrid,20,1,3,High,None,No,Increase,1,Unsatisfied,5,Weekly,Poor,Asia
EMP0042,53,Early Professional,Male,Project Manager,IT,14,Advanced,Onsite,29,13,2,Low,None,No,No Change,1,Unsatisfied,5,None,Good,North America
EMP0044,54,Senior Professional,Female,Designer,Manufacturing,12,Advanced,Remote,53,12,4,Medium,Depression,Yes,No Change,1,Unsatisfied,3,None,Average,Europe
EMP0046,32,Senior Professional,Male,Marketing,Retail,24,Expert,Remote,42,8,2,Medium,Burnout,No,No Change,2,Neutral,3,Daily,Poor,North America
EMP0047,33,Early Professional,Male,Data Scientist,Education,33,Expert,Remote,35,15,1,Medium,Burnout,Yes,Decrease,1,Unsatisfied,5,Weekly,Good,South America
EMP0048,30,Early Professional,Female,Sales,Consulting,4,Beginner,Remote,39,2,5,High,None,No,Decrease,1,Unsatisfied,4,None,Good,Oceania
EMP0049,22,Early Professional,Female,HR,Healthcare,7,Intermediate,Onsite,29,9,4,Low,None,No,Increase,2,Neutral,3,Daily,Poor,Africa
EMP0050,35,Young Adult,Male,Project Manager,Retail,11,Advanced,Onsite,37,3,4,Medium,Burnout,No,No Change,1,Satisfied,3,None,Average,Europe
EMP0052,47,Young Adult,Male,Sales,Consulting,25,Expert,Remote,31,9,5,Low,None,No,Decrease,4,Satisfied,1,None,Good,South America
EMP0053,42,Mid-Career Professional,Female,Software Engineer,Retail,3,Beginner,Onsite,26,14,3,Medium,None,No,Decrease,2,Satisfied,2,Daily,Good,South America
EMP0055,26,Senior Professional,Female,Software Engineer,Education,5,Beginner,Hybrid,55,6,1,Medium,Burnout,Yes,Decrease,4,Satisfied,1,Daily,Poor,Asia
